Character,Consonant,Glyph
अ,-,-
आ,-,ा
इ,-,ि
ई,-,ी
उ,-,ु
ऊ,-,ू
ऋ,-,ृ
ए,-,े
ऐ,-,ै
ओ,-,ो
औ,-,ौ
क,क,-
का,क,ा
कि,क,ि
की,क,ी
कु,क,ु
कू,क,ू
कृ,क,ृ
के,क,े
कै,क,ै
को,क,ो
कौ,क,ौ
ख,ख,-
खा,ख,ा
खि,ख,ि
खी,ख,ी
खु,ख,ु
खू,ख,ू
खृ,ख,ृ
खे,ख,े
खै,ख,ै
खो,ख,ो
खौ,ख,ौ
ग,ग,-
गा,ग,ा
गि,ग,ि
गी,ग,ी
गु,ग,ु
गू,ग,ू
गृ,ग,ृ
गे,ग,े
गै,ग,ै
गो,ग,ो
गौ,ग,ौ
घ,घ,-
घा,घ,ा
घि,घ,ि
घी,घ,ी
घु,घ,ु
घू,घ,ू
घृ,घ,ृ
घे,घ,े
घै,घ,ै
घो,घ,ो
घौ,घ,ौ
ङ,ङ,-
ङा,ङ,ा
ङि,ङ,ि
ङी,ङ,ी
ङु,ङ,ु
ङू,ङ,ू
ङृ,ङ,ृ
ङे,ङ,े
ङै,ङ,ै
ङो,ङ,ो
ङौ,ङ,ौ
ह,ह,-
हा,ह,ा
हि,ह,ि
ही,ह,ी
हु,ह,ु
हू,ह,ू
हृ,ह,ृ
हे,ह,े
है,ह,ै
हो,ह,ो
हौ,ह,ौ
च,च,-
चा,च,ा
चि,च,ि
ची,च,ी
चु,च,ु
चू,च,ू
चृ,च,ृ
चे,च,े
चै,च,ै
चो,च,ो
चौ,च,ौ
छ,छ,-
छा,छ,ा
छि,छ,ि
छी,छ,ी
छु,छ,ु
छू,छ,ू
छृ,छ,ृ
छे,छ,े
छै,छ,ै
छो,छ,ो
छौ,छ,ौ
ज,ज,-
जा,ज,ा
जि,ज,ि
जी,ज,ी
जु,ज,ु
जू,ज,ू
जृ,ज,ृ
जे,ज,े
जै,ज,ै
जो,ज,ो
जौ,ज,ौ
झ,झ,-
झा,झ,ा
झि,झ,ि
झी,झ,ी
झु,झ,ु
झू,झ,ू
झृ,झ,ृ
झे,झ,े
झै,झ,ै
झो,झ,ो
झौ,झ,ौ
ञ,ञ,-
ञा,ञ,ा
ञि,ञ,ि
ञी,ञ,ी
ञु,ञ,ु
ञू,ञ,ू
ञृ,ञ,ृ
ञे,ञ,े
ञै,ञ,ै
ञो,ञ,ो
ञौ,ञ,ौ
य,य,-
या,य,ा
यि,य,ि
यी,य,ी
यु,य,ु
यू,य,ू
यृ,य,ृ
ये,य,े
यै,य,ै
यो,य,ो
यौ,य,ौ
श,श,-
शा,श,ा
शि,श,ि
शी,श,ी
शु,श,ु
शू,श,ू
शृ,श,ृ
शे,श,े
शै,श,ै
शो,श,ो
शौ,श,ौ
ट,ट,-
टा,ट,ा
टि,ट,ि
टी,ट,ी
टु,ट,ु
टू,ट,ू
टृ,ट,ृ
टे,ट,े
टै,ट,ै
टो,ट,ो
टौ,ट,ौ
ठ,ठ,-
ठा,ठ,ा
ठि,ठ,ि
ठी,ठ,ी
ठु,ठ,ु
ठू,ठ,ू
ठृ,ठ,ृ
ठे,ठ,े
ठै,ठ,ै
ठो,ठ,ो
ठौ,ठ,ौ
ड,ड,-
डा,ड,ा
डि,ड,ि
डी,ड,ी
डु,ड,ु
डू,ड,ू
डृ,ड,ृ
डे,ड,े
डै,ड,ै
डो,ड,ो
डौ,ड,ौ
ढ,ढ,-
ढा,ढ,ा
ढि,ढ,ि
ढी,ढ,ी
ढु,ढ,ु
ढू,ढ,ू
ढृ,ढ,ृ
ढे,ढ,े
ढै,ढ,ै
ढो,ढ,ो
ढौ,ढ,ौ
ण,ण,-
णा,ण,ा
णि,ण,ि
णी,ण,ी
णु,ण,ु
णू,ण,ू
णृ,ण,ृ
णे,ण,े
णै,ण,ै
णो,ण,ो
णौ,ण,ौ
र,र,-
रा,र,ा
रि,र,ि
री,र,ी
रु,र,ु
रू,र,ू
रृ,र,ृ
रे,र,े
रै,र,ै
रो,र,ो
रौ,र,ौ
ष,ष,-
षा,ष,ा
षि,ष,ि
षी,ष,ी
षु,ष,ु
षू,ष,ू
षृ,ष,ृ
षे,ष,े
षै,ष,ै
षो,ष,ो
षौ,ष,ौ
त,त,-
ता,त,ा
ति,त,ि
ती,त,ी
तु,त,ु
तू,त,ू
तृ,त,ृ
ते,त,े
तै,त,ै
तो,त,ो
तौ,त,ौ
थ,थ,-
था,थ,ा
थि,थ,ि
थी,थ,ी
थु,थ,ु
थू,थ,ू
थृ,थ,ृ
थे,थ,े
थै,थ,ै
थो,थ,ो
थौ,थ,ौ
द,द,-
दा,द,ा
दि,द,ि
दी,द,ी
दु,द,ु
दू,द,ू
दृ,द,ृ
दे,द,े
दै,द,ै
दो,द,ो
दौ,द,ौ
ध,ध,-
धा,ध,ा
धि,ध,ि
धी,ध,ी
धु,ध,ु
धू,ध,ू
धृ,ध,ृ
धे,ध,े
धै,ध,ै
धो,ध,ो
धौ,ध,ौ
न,न,-
ना,न,ा
नि,न,ि
नी,न,ी
नु,न,ु
नू,न,ू
नृ,न,ृ
ने,न,े
नै,न,ै
नो,न,ो
नौ,न,ौ
ल,ल,-
ला,ल,ा
लि,ल,ि
ली,ल,ी
लु,ल,ु
लू,ल,ू
लृ,ल,ृ
ले,ल,े
लै,ल,ै
लो,ल,ो
लौ,ल,ौ
स,स,-
सा,स,ा
सि,स,ि
सी,स,ी
सु,स,ु
सू,स,ू
