Character,Consonant,Glyph
അ,-,-
ആ,-,ാ
ഇ,-,ി
ഈ,-,ീ
ഉ,-,ു
ഊ,-,ൂ
ഋ,-,ൃ
ഌ,-,ൢ
എ,-,െ
ഏ,-,േ
ഐ,-,ൈ
ഒ,-,ൊ
ഓ,-,ോ
ഔ,-,ൌ
ക്,ക,്
ഖ്,ഖ,്
ഗ്,ഗ,്
ഘ്,ഘ,്
ങ്,ങ,്
ച്,ച,്
ഛ്,ഛ,്
ജ്,ജ,്
ഝ്,ഝ,്
ഞ്,ഞ,്
ട്,ട,്
ഠ്,ഠ,്
ഡ്,ഡ,്
ഢ്,ഢ,്
ണ്,ണ,്
ത്,ത,്
ഥ്,ഥ,്
ദ്,ദ,്
ധ്,ധ,്
ന്,ന,്
പ്,പ,്
ഫ്,ഫ,്
ബ്,ബ,്
ഭ്,ഭ,്
മ്,മ,്
യ്,യ,്
ര്,ര,്
റ്,റ,്
ല്,ല,്
ള്,ള,്
ഴ്,ഴ,്
വ്,വ,്
ശ്,ശ,്
ഷ്,ഷ,്
സ്,സ,്
ഹ്,ഹ,്
കഀ,ക,ഀ
ഖഀ,ഖ,ഀ
ഗഀ,ഗ,ഀ
ഘഀ,ഘ,ഀ
ങഀ,ങ,ഀ
ചഀ,ച,ഀ
ഛഀ,ഛ,ഀ
ജഀ,ജ,ഀ
ഝഀ,ഝ,ഀ
ഞഀ,ഞ,ഀ
ടഀ,ട,ഀ
ഠഀ,ഠ,ഀ
ഡഀ,ഡ,ഀ
ഢഀ,ഢ,ഀ
ണഀ,ണ,ഀ
തഀ,ത,ഀ
ഥഀ,ഥ,ഀ
ദഀ,ദ,ഀ
ധഀ,ധ,ഀ
നഀ,ന,ഀ
പഀ,പ,ഀ
ഫഀ,ഫ,ഀ
ബഀ,ബ,ഀ
ഭഀ,ഭ,ഀ
മഀ,മ,ഀ
യഀ,യ,ഀ
രഀ,ര,ഀ
റഀ,റ,ഀ
ലഀ,ല,ഀ
ളഀ,ള,ഀ
ഴഀ,ഴ,ഀ
വഀ,വ,ഀ
ശഀ,ശ,ഀ
ഷഀ,ഷ,ഀ
സഀ,സ,ഀ
ഹഀ,ഹ,ഀ
കഁ,ക,ഁ
ഖഁ,ഖ,ഁ
ഗഁ,ഗ,ഁ
ഘഁ,ഘ,ഁ
ങഁ,ങ,ഁ
ചഁ,ച,ഁ
ഛഁ,ഛ,ഁ
ജഁ,ജ,ഁ
ഝഁ,ഝ,ഁ
ഞഁ,ഞ,ഁ
ടഁ,ട,ഁ
ഠഁ,ഠ,ഁ
ഡഁ,ഡ,ഁ
ഢഁ,ഢ,ഁ
ണഁ,ണ,ഁ
തഁ,ത,ഁ
ഥഁ,ഥ,ഁ
ദഁ,ദ,ഁ
ധഁ,ധ,ഁ
നഁ,ന,ഁ
പഁ,പ,ഁ
ഫഁ,ഫ,ഁ
ബഁ,ബ,ഁ
ഭഁ,ഭ,ഁ
മഁ,മ,ഁ
യഁ,യ,ഁ
രഁ,ര,ഁ
റഁ,റ,ഁ
ലഁ,ല,ഁ
ളഁ,ള,ഁ
ഴഁ,ഴ,ഁ
വഁ,വ,ഁ
