Character,Consonant,Glyph
ਅ,-,-
ਆ,-,ਾ
ਇ,-,ਿ
ਈ,-,ੀ
ਉ,-,ੁ
ਊ,-,ੂ
ਏ,-,ੇ
ਐ,-,ੈ
ਓ,-,ੋ
ਔ,-,ੌ
ਕ੍,ਕ,੍
ਖ੍,ਖ,੍
ਗ੍,ਗ,੍
ਘ੍,ਘ,੍
ਙ੍,ਙ,੍
ਚ੍,ਚ,੍
ਛ੍,ਛ,੍
ਜ੍,ਜ,੍
ਝ੍,ਝ,੍
ਞ੍,ਞ,੍
ਟ੍,ਟ,੍
ਠ੍,ਠ,੍
ਡ੍,ਡ,੍
ਢ੍,ਢ,੍
ਣ੍,ਣ,੍
ਤ੍,ਤ,੍
ਥ੍,ਥ,੍
ਦ੍,ਦ,੍
ਧ੍,ਧ,੍
ਨ੍,ਨ,੍
ਪ੍,ਪ,੍
ਫ੍,ਫ,੍
ਬ੍,ਬ,੍
ਭ੍,ਭ,੍
ਮ੍,ਮ,੍
ਯ੍,ਯ,੍
ਰ੍,ਰ,੍
ਲ੍,ਲ,੍
ਲ਼੍,ਲ਼,੍
ਵ੍,ਵ,੍
ਸ਼੍,ਸ਼,੍
ਸ੍,ਸ,੍
ਹ੍,ਹ,੍
ਖ਼੍,ਖ਼,੍
ਗ਼੍,ਗ਼,੍
ਜ਼੍,ਜ਼,੍
ੜ੍,ੜ,੍
ਫ਼੍,ਫ਼,੍
ਕੑ,ਕ,ੑ
ਖੑ,ਖ,ੑ
ਗੑ,ਗ,ੑ
ਘੑ,ਘ,ੑ
ਙੑ,ਙ,ੑ
ਚੑ,ਚ,ੑ
ਛੑ,ਛ,ੑ
ਜੑ,ਜ,ੑ
ਝੑ,ਝ,ੑ
ਞੑ,ਞ,ੑ
ਟੑ,ਟ,ੑ
ਠੑ,ਠ,ੑ
ਡੑ,ਡ,ੑ
ਢੑ,ਢ,ੑ
ਣੑ,ਣ,ੑ
ਤੑ,ਤ,ੑ
ਥੑ,ਥ,ੑ
ਦੑ,ਦ,ੑ
ਧੑ,ਧ,ੑ
ਨੑ,ਨ,ੑ
ਪੑ,ਪ,ੑ
ਫੑ,ਫ,ੑ
ਬੑ,ਬ,ੑ
ਭੑ,ਭ,ੑ
ਮੑ,ਮ,ੑ
ਯੑ,ਯ,ੑ
ਰੑ,ਰ,ੑ
ਲੑ,ਲ,ੑ
ਲ਼ੑ,ਲ਼,ੑ
ਵੑ,ਵ,ੑ
ਸ਼ੑ,ਸ਼,ੑ
ਸੑ,ਸ,ੑ
ਹੑ,ਹ,ੑ
ਖ਼ੑ,ਖ਼,ੑ
ਗ਼ੑ,ਗ਼,ੑ
ਜ਼ੑ,ਜ਼,ੑ
ੜੑ,ੜ,ੑ
ਫ਼ੑ,ਫ਼,ੑ
ਕਁ,ਕ,ਁ
ਖਁ,ਖ,ਁ
ਗਁ,ਗ,ਁ
ਘਁ,ਘ,ਁ
ਙਁ,ਙ,ਁ
ਚਁ,ਚ,ਁ
ਛਁ,ਛ,ਁ
ਜਁ,ਜ,ਁ
ਝਁ,ਝ,ਁ
ਞਁ,ਞ,ਁ
ਟਁ,ਟ,ਁ
ਠਁ,ਠ,ਁ
ਡਁ,ਡ,ਁ
ਢਁ,ਢ,ਁ
ਣਁ,ਣ,ਁ
ਤਁ,ਤ,ਁ
ਥਁ,ਥ,ਁ
ਦਁ,ਦ,ਁ
ਧਁ,ਧ,ਁ
ਨਁ,ਨ,ਁ
ਪਁ,ਪ,ਁ
ਫਁ,ਫ,ਁ
ਬਁ,ਬ,ਁ
ਭਁ,ਭ,ਁ
ਮਁ,ਮ,ਁ
ਯਁ,ਯ,ਁ
ਰਁ,ਰ,ਁ
ਲਁ,ਲ,ਁ
ਲ਼ਁ,ਲ਼,ਁ
ਵਁ,ਵ,ਁ
ਸ਼ਁ,ਸ਼,ਁ
ਸਁ,ਸ,ਁ
ਹਁ,ਹ,ਁ
ਖ਼ਁ,ਖ਼,ਁ
ਗ਼ਁ,ਗ਼,ਁ
ਜ਼ਁ,ਜ਼,ਁ
ੜਁ,ੜ,ਁ
ਫ਼ਁ,ਫ਼,ਁ
ਕਁ,ਕ,ਁ
ਖਁ,ਖ,ਁ
ਗਁ,ਗ,ਁ
ਘਁ,ਘ,ਁ
ਙਁ,ਙ,ਁ
ਚਁ,ਚ,ਁ
ਛਁ,ਛ,ਁ
ਜਁ,ਜ,ਁ
ਝਁ,ਝ,ਁ
ਞਁ,ਞ,ਁ
ਟਁ,ਟ,ਁ
ਠਁ,ਠ,ਁ
ਡਁ,ਡ,ਁ
ਢਁ,ਢ,ਁ
ਣਁ,ਣ,ਁ
ਤਁ,ਤ,ਁ
ਥਁ,ਥ,ਁ
ਦਁ,ਦ,ਁ
ਧਁ,ਧ,ਁ
ਨਁ,ਨ,ਁ
ਪਁ,ਪ,ਁ
ਫਁ,ਫ,ਁ
ਬਁ,ਬ,ਁ
ਭਁ,ਭ,ਁ
ਮਁ,ਮ,ਁ
ਯਁ,ਯ,ਁ
ਰਁ,ਰ,ਁ
ਲਁ,ਲ,ਁ
ਲ਼ਁ,ਲ਼,ਁ
ਵਁ,ਵ,ਁ
ਸ਼ਁ,ਸ਼,ਁ
ਸਁ,ਸ,ਁ
ਹਁ,ਹ,ਁ
ਖ਼ਁ,ਖ਼,ਁ
ਗ਼ਁ,ਗ਼,ਁ
ਜ਼ਁ,ਜ਼,ਁ
ੜਁ,ੜ,ਁ
ਫ਼ਁ,ਫ਼,ਁ
ਕਃ,ਕ,ਃ
ਖਃ,ਖ,ਃ
ਗਃ,ਗ,ਃ
ਘਃ,ਘ,ਃ
ਙਃ,ਙ,ਃ
ਚਃ,ਚ,ਃ
ਛਃ,ਛ,ਃ
ਜਃ,ਜ,ਃ
ਝਃ,ਝ,ਃ
ਞਃ,ਞ,ਃ
ਟਃ,ਟ,ਃ
ਠਃ,ਠ,ਃ
ਡਃ,ਡ,ਃ
ਢਃ,ਢ,ਃ
ਣਃ,ਣ,ਃ
ਤਃ,ਤ,ਃ
ਥਃ,ਥ,ਃ
ਦਃ,ਦ,ਃ
ਧਃ,ਧ,ਃ
ਨਃ,ਨ,ਃ
ਪਃ,ਪ,ਃ
ਫਃ,ਫ,ਃ
ਬਃ,ਬ,ਃ
ਭਃ,ਭ,ਃ
ਮਃ,ਮ,ਃ
ਯਃ,ਯ,ਃ
ਰਃ,ਰ,ਃ
ਲਃ,ਲ,ਃ
ਲ਼ਃ,ਲ਼,ਃ
ਵਃ,ਵ,ਃ
ਸ਼ਃ,ਸ਼,ਃ
ਸਃ,ਸ,ਃ
ਹਃ,ਹ,ਃ
ਖ਼ਃ,ਖ਼,ਃ
ਗ਼ਃ,ਗ਼,ਃ
ਜ਼ਃ,ਜ਼,ਃ
ੜਃ,ੜ,ਃ
ਫ਼ਃ,ਫ਼,ਃ
ਕ਼,ਕ,਼
ਖ਼,ਖ,਼
ਗ਼,ਗ,਼
ਘ਼,ਘ,਼
ਙ਼,ਙ,਼
ਚ਼,ਚ,਼
ਛ਼,ਛ,਼
ਜ਼,ਜ,਼
ਝ਼,ਝ,਼
ਞ਼,ਞ,਼
ਟ਼,ਟ,਼
ਠ਼,ਠ,਼
ਡ਼,ਡ,਼
ਢ਼,ਢ,਼
ਣ਼,ਣ,਼
ਤ਼,ਤ,਼
ਥ਼,ਥ,਼
ਦ਼,ਦ,਼
ਧ਼,ਧ,਼
ਨ਼,ਨ,਼
ਪ਼,ਪ,਼
ਫ਼,ਫ,਼
ਬ਼,ਬ,਼
ਭ਼,ਭ,਼
ਮ਼,ਮ,਼
ਯ਼,ਯ,਼
ਰ਼,ਰ,਼
ਲ਼,ਲ,਼
ਲ਼਼,ਲ਼,਼
ਵ਼,ਵ,਼
ਸ਼਼,ਸ਼,਼
ਸ਼,ਸ,਼
ਹ਼,ਹ,਼
ਖ਼਼,ਖ਼,਼
ਗ਼਼,ਗ਼,਼
ਜ਼਼,ਜ਼,਼
ੜ਼,ੜ,਼
ਫ਼਼,ਫ਼,਼
ਕੰ,ਕ,ੰ
ਖੰ,ਖ,ੰ
ਗੰ,ਗ,ੰ
ਘੰ,ਘ,ੰ
ਙੰ,ਙ,ੰ
ਚੰ,ਚ,ੰ
ਛੰ,ਛ,ੰ
ਜੰ,ਜ,ੰ
ਝੰ,ਝ,ੰ
ਞੰ,ਞ,ੰ
ਟੰ,ਟ,ੰ
ਠੰ,ਠ,ੰ
ਡੰ,ਡ,ੰ
ਢੰ,ਢ,ੰ
ਣੰ,ਣ,ੰ
ਤੰ,ਤ,ੰ
ਥੰ,ਥ,ੰ
ਦੰ,ਦ,ੰ
ਧੰ,ਧ,ੰ
ਨੰ,ਨ,ੰ
ਪੰ,ਪ,ੰ
ਫੰ,ਫ,ੰ
ਬੰ,ਬ,ੰ
ਭੰ,ਭ,ੰ
ਮੰ,ਮ,ੰ
ਯੰ,ਯ,ੰ
ਰੰ,ਰ,ੰ
ਲੰ,ਲ,ੰ
ਲ਼ੰ,ਲ਼,ੰ
ਵੰ,ਵ,ੰ
ਸ਼ੰ,ਸ਼,ੰ
ਸੰ,ਸ,ੰ
ਹੰ,ਹ,ੰ
ਖ਼ੰ,ਖ਼,ੰ
ਗ਼ੰ,ਗ਼,ੰ
ਜ਼ੰ,ਜ਼,ੰ
ੜੰ,ੜ,ੰ
ਫ਼ੰ,ਫ਼,ੰ
ਕੱ,ਕ,ੱ
ਖੱ,ਖ,ੱ
ਗੱ,ਗ,ੱ
ਘੱ,ਘ,ੱ
ਙੱ,ਙ,ੱ
ਚੱ,ਚ,ੱ
ਛੱ,ਛ,ੱ
ਜੱ,ਜ,ੱ
ਝੱ,ਝ,ੱ
ਞੱ,ਞ,ੱ
ਟੱ,ਟ,ੱ
ਠੱ,ਠ,ੱ
ਡੱ,ਡ,ੱ
ਢੱ,ਢ,ੱ
ਣੱ,ਣ,ੱ
ਤੱ,ਤ,ੱ
ਥੱ,ਥ,ੱ
ਦੱ,ਦ,ੱ
ਧੱ,ਧ,ੱ
ਨੱ,ਨ,ੱ
ਪੱ,ਪ,ੱ
ਫੱ,ਫ,ੱ
ਬੱ,ਬ,ੱ
ਭੱ,ਭ,ੱ
ਮੱ,ਮ,ੱ
ਯੱ,ਯ,ੱ
ਰੱ,ਰ,ੱ
ਲੱ,ਲ,ੱ
ਲ਼ੱ,ਲ਼,ੱ
ਵੱ,ਵ,ੱ
ਸ਼ੱ,ਸ਼,ੱ
ਸੱ,ਸ,ੱ
ਹੱ,ਹ,ੱ
ਖ਼ੱ,ਖ਼,ੱ
ਗ਼ੱ,ਗ਼,ੱ
ਜ਼ੱ,ਜ਼,ੱ
ੜੱ,ੜ,ੱ
ਫ਼ੱ,ਫ਼,ੱ
ਕ,ਕ,-
ਕਾ,ਕ,ਾ
ਕਿ,ਕ,ਿ
ਕੀ,ਕ,ੀ
ਕੁ,ਕ,ੁ
ਕੂ,ਕ,ੂ
ਕੇ,ਕ,ੇ
ਕੈ,ਕ,ੈ
ਕੋ,ਕ,ੋ
ਕੌ,ਕ,ੌ
ਖ,ਖ,-
ਖਾ,ਖ,ਾ
ਖਿ,ਖ,ਿ
ਖੀ,ਖ,ੀ
ਖੁ,ਖ,ੁ
ਖੂ,ਖ,ੂ
ਖੇ,ਖ,ੇ
ਖੈ,ਖ,ੈ
ਖੋ,ਖ,ੋ
ਖੌ,ਖ,ੌ
ਗ,ਗ,-
ਗਾ,ਗ,ਾ
ਗਿ,ਗ,ਿ
ਗੀ,ਗ,ੀ
ਗੁ,ਗ,ੁ
ਗੂ,ਗ,ੂ
ਗੇ,ਗ,ੇ
ਗੈ,ਗ,ੈ
ਗੋ,ਗ,ੋ
ਗੌ,ਗ,ੌ
ਘ,ਘ,-
ਘਾ,ਘ,ਾ
ਘਿ,ਘ,ਿ
ਘੀ,ਘ,ੀ
ਘੁ,ਘ,ੁ
ਘੂ,ਘ,ੂ
ਘੇ,ਘ,ੇ
ਘੈ,ਘ,ੈ
ਘੋ,ਘ,ੋ
ਘੌ,ਘ,ੌ
ਙ,ਙ,-
ਙਾ,ਙ,ਾ
ਙਿ,ਙ,ਿ
ਙੀ,ਙ,ੀ
ਙੁ,ਙ,ੁ
ਙੂ,ਙ,ੂ
ਙੇ,ਙ,ੇ
ਙੈ,ਙ,ੈ
ਙੋ,ਙ,ੋ
ਙੌ,ਙ,ੌ
ਚ,ਚ,-
ਚਾ,ਚ,ਾ
ਚਿ,ਚ,ਿ
ਚੀ,ਚ,ੀ
ਚੁ,ਚ,ੁ
ਚੂ,ਚ,ੂ
ਚੇ,ਚ,ੇ
ਚੈ,ਚ,ੈ
ਚੋ,ਚ,ੋ
ਚੌ,ਚ,ੌ
ਛ,ਛ,-
ਛਾ,ਛ,ਾ
ਛਿ,ਛ,ਿ
ਛੀ,ਛ,ੀ
ਛੁ,ਛ,ੁ
ਛੂ,ਛ,ੂ
ਛੇ,ਛ,ੇ
ਛੈ,ਛ,ੈ
ਛੋ,ਛ,ੋ
ਛੌ,ਛ,ੌ
ਜ,ਜ,-
ਜਾ,ਜ,ਾ
ਜਿ,ਜ,ਿ
ਜੀ,ਜ,ੀ
ਜੁ,ਜ,ੁ
ਜੂ,ਜ,ੂ
ਜੇ,ਜ,ੇ
ਜੈ,ਜ,ੈ
ਜੋ,ਜ,ੋ
ਜੌ,ਜ,ੌ
ਝ,ਝ,-
ਝਾ,ਝ,ਾ
ਝਿ,ਝ,ਿ
ਝੀ,ਝ,ੀ
ਝੁ,ਝ,ੁ
ਝੂ,ਝ,ੂ
ਝੇ,ਝ,ੇ
ਝੈ,ਝ,ੈ
ਝੋ,ਝ,ੋ
ਝੌ,ਝ,ੌ
ਞ,ਞ,-
ਞਾ,ਞ,ਾ
ਞਿ,ਞ,ਿ
ਞੀ,ਞ,ੀ
ਞੁ,ਞ,ੁ
ਞੂ,ਞ,ੂ
ਞੇ,ਞ,ੇ
ਞੈ,ਞ,ੈ
ਞੋ,ਞ,ੋ
ਞੌ,ਞ,ੌ
ਟ,ਟ,-
ਟਾ,ਟ,ਾ
ਟਿ,ਟ,ਿ
ਟੀ,ਟ,ੀ
ਟੁ,ਟ,ੁ
