Character,Consonant,Glyph
அ,-,-
ஆ,-,ா
இ,-,ி
ஈ,-,ீ
உ,-,ு
ஊ,-,ூ
எ,-,ெ
ஏ,-,ே
ஐ,-,ை
ஒ,-,ொ
ஓ,-,ோ
ஔ,-,ௌ
க்,க,்
ங்,ங,்
ச்,ச,்
ஞ்,ஞ,்
ட்,ட,்
ண்,ண,்
த்,த,்
ந்,ந,்
ப்,ப,்
ம்,ம,்
ய்,ய,்
ர்,ர,்
ல்,ல,்
வ்,வ,்
ழ்,ழ,்
ள்,ள,்
ற்,ற,்
ன்,ன,்
க,க,-
கா,க,ா
கி,க,ி
கீ,க,ீ
கு,க,ு
கூ,க,ூ
கெ,க,ெ
கே,க,ே
கை,க,ை
கொ,க,ொ
கோ,க,ோ
கௌ,க,ௌ
ங,ங,-
ஙா,ங,ா
ஙி,ங,ி
ஙீ,ங,ீ
ஙு,ங,ு
ஙூ,ங,ூ
ஙெ,ங,ெ
ஙே,ங,ே
ஙை,ங,ை
ஙொ,ங,ொ
ஙோ,ங,ோ
ஙௌ,ங,ௌ
ச,ச,-
சா,ச,ா
சி,ச,ி
சீ,ச,ீ
சு,ச,ு
சூ,ச,ூ
செ,ச,ெ
சே,ச,ே
சை,ச,ை
சொ,ச,ொ
சோ,ச,ோ
சௌ,ச,ௌ
ஞ,ஞ,-
ஞா,ஞ,ா
ஞி,ஞ,ி
ஞீ,ஞ,ீ
ஞு,ஞ,ு
ஞூ,ஞ,ூ
ஞெ,ஞ,ெ
ஞே,ஞ,ே
ஞை,ஞ,ை
ஞொ,ஞ,ொ
ஞோ,ஞ,ோ
ஞௌ,ஞ,ௌ
ட,ட,-
டா,ட,ா
டி,ட,ி
டீ,ட,ீ
டு,ட,ு
டூ,ட,ூ
டெ,ட,ெ
டே,ட,ே
டை,ட,ை
டொ,ட,ொ
டோ,ட,ோ
டௌ,ட,ௌ
ண,ண,-
ணா,ண,ா
ணி,ண,ி
ணீ,ண,ீ
ணு,ண,ு
ணூ,ண,ூ
ணெ,ண,ெ
ணே,ண,ே
ணை,ண,ை
ணொ,ண,ொ
ணோ,ண,ோ
ணௌ,ண,ௌ
த,த,-
தா,த,ா
தி,த,ி
தீ,த,ீ
து,த,ு
தூ,த,ூ
தெ,த,ெ
தே,த,ே
தை,த,ை
தொ,த,ொ
தோ,த,ோ
தௌ,த,ௌ
ந,ந,-
நா,ந,ா
நி,ந,ி
நீ,ந,ீ
நு,ந,ு
நூ,ந,ூ
நெ,ந,ெ
நே,ந,ே
நை,ந,ை
நொ,ந,ொ
நோ,ந,ோ
நௌ,ந,ௌ
ப,ப,-
பா,ப,ா
பி,ப,ி
பீ,ப,ீ
பு,ப,ு
பூ,ப,ூ
பெ,ப,ெ
பே,ப,ே
பை,ப,ை
பொ,ப,ொ
போ,ப,ோ
பௌ,ப,ௌ
ம,ம,-
மா,ம,ா
மி,ம,ி
மீ,ம,ீ
மு,ம,ு
மூ,ம,ூ
மெ,ம,ெ
மே,ம,ே
மை,ம,ை
மொ,ம,ொ
மோ,ம,ோ
மௌ,ம,ௌ
ய,ய,-
யா,ய,ா
யி,ய,ி
யீ,ய,ீ
யு,ய,ு
யூ,ய,ூ
யெ,ய,ெ
யே,ய,ே
யை,ய,ை
யொ,ய,ொ
யோ,ய,ோ
யௌ,ய,ௌ
ர,ர,-
ரா,ர,ா
ரி,ர,ி
ரீ,ர,ீ
ரு,ர,ு
ரூ,ர,ூ
ரெ,ர,ெ
ரே,ர,ே
ரை,ர,ை
ரொ,ர,ொ
ரோ,ர,ோ
ரௌ,ர,ௌ
ல,ல,-
லா,ல,ா
லி,ல,ி
லீ,ல,ீ
லு,ல,ு
லூ,ல,ூ
லெ,ல,ெ
லே,ல,ே
லை,ல,ை
லொ,ல,ொ
லோ,ல,ோ
லௌ,ல,ௌ
வ,வ,-
வா,வ,ா
வி,வ,ி
வீ,வ,ீ
வு,வ,ு
வூ,வ,ூ
வெ,வ,ெ
வே,வ,ே
வை,வ,ை
வொ,வ,ொ
வோ,வ,ோ
வௌ,வ,ௌ
ழ,ழ,-
ழா,ழ,ா
ழி,ழ,ி
ழீ,ழ,ீ
ழு,ழ,ு
ழூ,ழ,ூ
ழெ,ழ,ெ
ழே,ழ,ே
ழை,ழ,ை
ழொ,ழ,ொ
ழோ,ழ,ோ
ழௌ,ழ,ௌ
ள,ள,-
ளா,ள,ா
ளி,ள,ி
ளீ,ள,ீ
ளு,ள,ு
ளூ,ள,ூ
ளெ,ள,ெ
ளே,ள,ே
ளை,ள,ை
ளொ,ள,ொ
ளோ,ள,ோ
ளௌ,ள,ௌ
ற,ற,-
றா,ற,ா
றி,ற,ி
றீ,ற,ீ
று,ற,ு
றூ,ற,ூ
றெ,ற,ெ
றே,ற,ே
றை,ற,ை
றொ,ற,ொ
றோ,ற,ோ
றௌ,ற,ௌ
ன,ன,-
னா,ன,ா
னி,ன,ி
னீ,ன,ீ
னு,ன,ு
னூ,ன,ூ
னெ,ன,ெ
னே,ன,ே
னை,ன,ை
னொ,ன,ொ
னோ,ன,ோ
னௌ,ன,ௌ
ஃ,ஃ,-
